Ho_Ten,Gioi_Tinh,Ma_SV,Nganh,Khu_Vuc,Loai_Phong,Khoang_Cach_km,Gia_Thue_Trieu,So_Nguoi,Phuong_Tien
Trần Văn Phát,Nam,HS218134,An toàn thông tin,Tân Xã,Phòng trọ cơ bản,2.4,2.3,1.0,Xe máy
Nguyễn Thị Quốc,Nữ,HE208712,Công nghệ thông tin,Dom A,Ký túc xá,0.1,1.1,4.0,Đi bộ
Lê Văn Sáng,Nam,HS187006,An toàn thông tin,Thạch Hòa,Phòng trọ cơ bản,2.7,2.3,1.0,Xe máy
Phùng Thị Tâm,Nữ,HA195147,Quản trị kinh doanh,Hòa Lạc,Phòng khép kín,7.2,1.4,1.0,Xe buýt
Đoàn Văn Uy,Nam,HS207629,An toàn thông tin,Tân Xã,Phòng trọ cơ bản,3.2,2.2,1.0,Xe máy
Nguyễn Thị Vui,Nữ,HS189594,An toàn thông tin,Dom B,Ký túc xá,0.4,1.1,4.0,Đi bộ
Trần Văn Thành,Nam,HA217425,Quản trị kinh doanh,Thạch Hòa,Chung cư mini,3.9,2.6,2.0,Xe máy
Lê Thị Duyên,Nữ,HE185925,Công nghệ thông tin,Hòa Lạc,Phòng khép kín,4.9,2.0,1.0,Xe buýt
Phạm Văn An,Nam,HA204912,Quản trị kinh doanh,Tân Xã,Phòng trọ cơ bản,3.8,1.9,2.0,Xe máy
Vũ Thị Nhung,Nữ,HS184071,An toàn thông tin,Dom C,Ký túc xá,0.5,1.1,4.0,Đi bộ
Hoàng Văn Chung,Nam,HS182946,An toàn thông tin,Thạch Hòa,Chung cư mini,3.4,2.7,2.0,Xe máy
Bùi Thị Đào,Nữ,HE214000,Công nghệ thông tin,Hòa Lạc,Phòng khép kín,6.4,1.7,1.0,Xe buýt
Nguyễn Văn Tuấn,Nam,HE191342,Công nghệ thông tin,Tân Xã,Phòng trọ cơ bản,3.0,2.5,1.0,Xe máy
Lê Thị Giáp,Nữ,HS219412,An toàn thông tin,Dom D,Ký túc xá,0.2,1.1,4.0,Đi bộ
Trần Văn Hương,Nam,HS204920,An toàn thông tin,Thạch Hòa,Phòng trọ cơ bản,4.6,1.8,2.0,Xe máy
Phạm Thị Kiều,Nữ,HC198605,Thiết kế mỹ thuật số,Hòa Lạc,Phòng khép kín,5.9,1.7,2.0,Xe buýt
Vũ Văn Lộc,Nam,HS208112,An toàn thông tin,Tân Xã,Phòng trọ cơ bản,4.1,2.0,2.0,Xe máy
Hoàng Thị Mai,Nữ,HC205628,Thiết kế mỹ thuật số,Dom A,Ký túc xá,0.3,1.1,4.0,Đi bộ
Bùi Văn Ngọc,Nam,HC217354,Thiết kế mỹ thuật số,Thạch Hòa,Phòng trọ cơ bản,2.6,2.2,1.0,Xe máy
Nguyễn Thị Ánh,Nữ,HE194718,Công nghệ thông tin,Hòa Lạc,Phòng khép kín,7.8,1.5,2.0,Xe buýt
Lê Văn Phú,Nam,HS189978,An toàn thông tin,Tân Xã,Phòng trọ cơ bản,2.5,2.3,1.0,Xe máy
Phan Thị Quý,Nữ,HA181200,Quản trị kinh doanh,Dom B,Ký túc xá,0.6,1.1,4.0,Đi bộ
Trần Văn Khang,Nam,HS191935,An toàn thông tin,Thạch Hòa,Chung cư mini,3.7,2.7,2.0,Xe máy
Nguyễn Thị Thu,Nữ,HE188388,Công nghệ thông tin,Hòa Lạc,Phòng khép kín,5.1,1.9,1.0,Xe buýt
Lê Văn Tín,Nam,HE196851,Công nghệ thông tin,Tân Xã,Phòng trọ cơ bản,3.5,2.2,1.0,Xe máy
Phùng Thị Uyên,Nữ,HE182703,Công nghệ thông tin,Dom C,Ký túc xá,0.1,1.1,4.0,Đi bộ
Đoàn Văn Vinh,Nam,HA185605,Quản trị kinh doanh,Thạch Hòa,Chung cư mini,4.3,2.5,2.0,Xe máy
Nguyễn Thị Xuân,Nữ,HS202491,An toàn thông tin,Hòa Lạc,Phòng khép kín,8.2,1.3,2.0,Xe buýt
Trần Văn Yến,Nam,HC198012,Thiết kế mỹ thuật số,Tân Xã,Chung cư mini/Studio,2.1,2.7,3.0,Xe máy
Lê Thị An,Nữ,HS216910,An toàn thông tin,Dom D,Ký túc xá,0.4,1.1,4.0,Đi bộ
Phạm Văn Bằng,Nam,HS210643,An toàn thông tin,Thạch Hòa,Phòng trọ cơ bản,3.0,2.1,1.0,Xe máy
Vũ Thị Cảnh,Nữ,HC191272,Thiết kế mỹ thuật số,Hòa Lạc,Phòng khép kín,6.1,1.7,1.0,Xe buýt
Hoàng Văn Đình,Nam,HE189144,Công nghệ thông tin,Tân Xã,Phòng trọ cơ bản,4.3,2.3,2.0,Xe máy
Bùi Thị Nga,Nữ,HC209389,Thiết kế mỹ thuật số,Dom A,Ký túc xá,0.3,1.1,4.0,Đi bộ
Nguyễn Văn Giao,Nam,HC215141,Thiết kế mỹ thuật số,Thạch Hòa,Chung cư mini,4.4,2.6,2.0,Xe máy
Lê Thị Hạnh,Nữ,HC185573,Thiết kế mỹ thuật số,Hòa Lạc,Phòng khép kín,5.6,1.9,1.0,Xe buýt
Trần Văn Bình,Nam,HE185738,Công nghệ thông tin,Tân Xã,Phòng trọ cơ bản,3.1,2.2,1.0,Xe máy
Phạm Thị Khánh,Nữ,HC209739,Thiết kế mỹ thuật số,Dom B,Ký túc xá,0.2,1.1,4.0,Đi bộ
Vũ Văn Lâm,Nam,HE198138,Công nghệ thông tin,Thạch Hòa,Chung cư mini,3.2,2.7,2.0,Xe máy
Hoàng Thị Như,Nữ,HS199502,An toàn thông tin,Hòa Lạc,Phòng khép kín,7.1,1.4,2.0,Xe buýt
Bùi Văn Oanh,Nam,HC197475,Thiết kế mỹ thuật số,Tân Xã,Phòng trọ cơ bản,2.7,1.9,2.0,Xe máy
Nguyễn Thị Phúc,Nữ,HC191127,Thiết kế mỹ thuật số,Dom C,Ký túc xá,0.7,1.1,4.0,Đi bộ
Lê Văn Quân,Nam,HA211534,Quản trị kinh doanh,Thạch Hòa,Phòng trọ cơ bản,2.8,2.3,2.0,Xe máy
Phan Thị Trinh,Nữ,HS184423,An toàn thông tin,Hòa Lạc,Phòng khép kín,4.7,1.9,2.0,Xe buýt
Trần Văn Sơn,Nam,HC187768,Thiết kế mỹ thuật số,Tân Xã,Phòng trọ cơ bản,3.7,2.0,1.0,Xe máy
Ngô Thị Yến,Nữ,HE181065,Công nghệ thông tin,Dom A,Ký túc xá,0.2,0.8,6.0,Đi bộ
Đặng Văn Phúc,Nam,HE190995,Công nghệ thông tin,Dom B,Ký túc xá,0.3,0.8,6.0,Đi bộ
Vũ Thị Hà,Nữ,HS215073,An toàn thông tin,Dom C,Ký túc xá,0.4,0.8,6.0,Đi bộ
Trịnh Văn Đức,Nam,HC219470,Thiết kế mỹ thuật số,Dom D,Ký túc xá,0.5,0.8,6.0,Đi bộ
Dương Bích Bình,Nữ,HE186023,Công nghệ thông tin,Tân Xã,Phòng khép kín,3.0,2.5,1.0,Xe máy
Hoàng Văn Khang,Nam,HE202594,Công nghệ thông tin,Tân Xã,Phòng trọ cơ bản,3.5,2.7,2.0,Xe máy
Dương Kim Dung,Nữ,HE190492,Công nghệ thông tin,Tân Xã,Chung cư mini,2.3,2.7,2.0,Xe máy
Đoàn Quang Khang,Nam,HE210990,Công nghệ thông tin,Tân Xã,Phòng trọ cơ bản,2.0,1.5,2.0,Xe máy
Đoàn Kim Gấm,Nữ,HE217093,Công nghệ thông tin,Tân Xã,Phòng trọ cơ bản,2.0,1.6,1.0,Xe máy
Phùng Thu Hạnh,Nữ,HS202230,An toàn thông tin,Tân Xã,Phòng trọ cơ bản,0.5,1.6,2.0,Đi bộ
Phạm Kim Uyên,Nữ,HS217411,An toàn thông tin,Tân Xã,Phòng trọ cơ bản,2.2,1.9,1.0,Xe máy
Hoàng Hồng Đào,Nữ,HA184604,Quản trị kinh doanh,Tân Xã,Chung cư mini/Studio,2.8,2.8,2.0,Xe máy
Nguyễn Quang Long,Nam,HE215088,Công nghệ thông tin,Tân Xã,Phòng trọ cơ bản,3.2,2.0,2.0,Xe máy
Trần Quang Nam,Nam,HC208881,Thiết kế mỹ thuật số,Thạch Hòa,Phòng trọ cơ bản,2.6,2.3,2.0,Xe máy
Bùi Hữu Lâm,Nam,HE188935,Công nghệ thông tin,Thạch Hòa,Chung cư mini,3.0,3.0,2.0,Xe máy
Vũ Xuân Hải,Nam,HE217469,Công nghệ thông tin,Thạch Hòa,Phòng trọ cơ bản,3.3,2.2,1.0,Xe máy
Nguyễn Văn Hùng,Nam,HS196431,An toàn thông tin,Thạch Hòa,Chung cư mini,3.6,2.9,2.0,Xe máy
Phùng Mỹ Khánh,Nữ,HS204692,An toàn thông tin,Thạch Hòa,Phòng trọ cơ bản,3.9,1.9,2.0,Xe máy
Hoàng Thu Kiều,Nữ,HE201633,Công nghệ thông tin,Thạch Hòa,Chung cư mini,4.2,2.8,2.0,Xe máy
Ngô Thị Vy,Nữ,HE213512,Công nghệ thông tin,Thạch Hòa,Phòng trọ cơ bản,4.5,2.0,1.0,Xe máy
Phùng Văn Sơn,Nam,HS210790,An toàn thông tin,Thạch Hòa,Phòng trọ cơ bản,4.8,1.8,1.0,Xe máy
Hồ Công Minh,Nam,HA215944,Quản trị kinh doanh,Hòa Lạc,Phòng khép kín,5.4,1.9,2.0,Xe buýt
Đoàn Công Sơn,Nam,HE196273,Công nghệ thông tin,Hòa Lạc,Phòng khép kín,5.7,1.6,2.0,Xe buýt
Dương Xuân Long,Nam,HC207439,Thiết kế mỹ thuật số,Hòa Lạc,Phòng khép kín,6.3,1.5,2.0,Xe buýt
Vũ Kim Khánh,Nữ,HC196142,Thiết kế mỹ thuật số,Hòa Lạc,Phòng khép kín,6.6,1.5,1.0,Xe buýt
Phạm Kim Khánh,Nữ,HS213758,An toàn thông tin,Hòa Lạc,Phòng khép kín,6.9,1.5,1.0,Xe buýt
Phùng Thị Tú,Nữ,HS200047,An toàn thông tin,Hòa Lạc,Phòng khép kín,7.4,1.4,1.0,Xe buýt
Hoàng Kim Hạnh,Nữ,HC211907,Thiết kế mỹ thuật số,Hòa Lạc,Phòng khép kín,7.9,1.3,1.0,Xe buýt
Trịnh Hồng Linh,Nữ,HS219647,An toàn thông tin,Hòa Lạc,Phòng khép kín,8.7,1.4,1.0,Xe buýt
Đặng Ngọc Tú,Nữ,HS218977,An toàn thông tin,Dom A,Ký túc xá,0.1,1.1,4.0,Đi bộ
Đặng Quang Nam,Nam,HA197588,Quản trị kinh doanh,Dom A,Ký túc xá,0.5,0.8,6.0,Đi bộ
Huỳnh Bích Quỳnh,Nữ,HE218352,Công nghệ thông tin,Dom B,Ký túc xá,0.1,1.1,4.0,Đi bộ
Bùi Kim Kiều,Nữ,HE207121,Công nghệ thông tin,Dom B,Ký túc xá,0.5,0.8,6.0,Đi bộ
Ngô Thị Ngân,Nữ,HA219049,Quản trị kinh doanh,Dom C,Ký túc xá,0.2,1.1,4.0,Đi bộ
Trịnh Minh An,Nam,HC209294,Thiết kế mỹ thuật số,Dom C,Ký túc xá,0.6,0.8,6.0,Đi bộ
Nguyễn Minh Long,Nam,HA201044,Quản trị kinh doanh,Dom D,Ký túc xá,0.3,1.1,4.0,Đi bộ
Lê Đức Đăng,Nam,HA182971,Quản trị kinh doanh,Dom D,Ký túc xá,0.6,0.8,6.0,Đi bộ
